RecordType;Schema;Name;Type;Id;LoC;References;Dependencies;Abstraction;Instability
1;TKMTS;PAC_FLOW_CLIENT;PACKAGE BODY;30254028;170;0;3;0.0058823529411764705;1.0
1;TKMTS;GEO_POSTALCODE_TRC;TRIGGER;30254043;76;0;0;0.013157894736842105;0
1;TKMTS;TR_BIU_BO_ITEM_MEETINGPOINT;TRIGGER;29262180;132;0;2;0.007575757575757576;1.0
1;TKMTS;QA_DVLP_MIGRATE_CONTRACT;PROCEDURE;30118500;120;0;3;0.008333333333333333;1.0
1;TKMTS;F_GET_DATE_TO_XMLDATE_WO_TZONE;FUNCTION;29308282;48;5;0;0.020833333333333332;0.0
1;TKMTS;OD_STOCK_XML_GENERATED_TRC;TRIGGER;29308250;82;0;0;0.012195121951219513;0
1;TKMTS;PAC_XML_GENERATED;PACKAGE;29308251;550;3;0;0.0018181818181818182;0.0
1;TKMTS;PAC_XML_GENERATED;PACKAGE BODY;29308252;550;0;4;0.0018181818181818182;1.0
1;TKMTS;BO_ITEM_AVAILABILITY_TRC;TRIGGER;29308256;76;0;0;0.013157894736842105;0
1;TKMTS;CO_AVAILABILITY_CATEGORY_TRC;TRIGGER;29308288;82;0;0;0.012195121951219513;0
1;TKMTS;CO_PRICELINE_POINTLOLISTTO_TRC;TRIGGER;30202936;82;0;0;0.012195121951219513;0
1;TKMTS;OD_STOCKFLIGHTCOMBINATION_TRC;TRIGGER;30404659;76;0;0;0.013157894736842105;0
1;TKMTS;OD_STOCKFLIGHT_COMB_DETAIL_TRC;TRIGGER;30404666;76;0;0;0.013157894736842105;0
1;TKMTS;F_HOURS_TO_MINUTES;FUNCTION;30404668;32;0;0;0.03125;0
1;TKMTS;TR_AU_STOCK_UPDBOOKINGPICKUPS;TRIGGER;30404669;32;0;0;0.03125;0
1;TKMTS;TR_AIU_SZS_UPDBOOKINGPICKUPS;TRIGGER;30404670;52;0;0;0.019230769230769232;0
1;TKMTS;TR_AIU_SZSP_UPDBOOKINGPICKUPS;TRIGGER;30404671;54;0;0;0.018518518518518517;0
1;TKMTS;VW_CONTRACTUNITS_TEST_MIKI;VIEW;30081103;0;0;0;0;0
1;TKMTS;CO_CONTRACTUNITSTATUSHIS_TRC;TRIGGER;30320238;71;0;0;0.014084507042253521;0
1;TKMTS;CO_ALLOTMENTSTATUSHIS_TRC;TRIGGER;30320252;71;0;0;0.014084507042253521;0
1;TKMTS;SL_STOPSALESTATUSHIS_TRC;TRIGGER;30310308;71;0;0;0.014084507042253521;0
1;TKMTS;PAC_CONTRACT_COPY;PACKAGE;30161474;10056;1;0;9,94E+09;0.0
1;TKMTS;PAC_CONTRACT_COPY;PACKAGE BODY;30161475;10056;0;20;9,94E+09;1.0
1;TKMTS;TR_AIU_VOUCHERTYPE;TRIGGER;30381627;36;0;0;0.027777777777777776;0
1;TKMTS;CO_RATEPLANSTATUSHIS_TRC;TRIGGER;30254057;82;0;0;0.012195121951219513;0
1;TKMTS;TR_AIU_CO_RATEPLANSTATUSHIS;TRIGGER;30254058;36;0;0;0.027777777777777776;0
1;TKMTS;TR_AU_OD_RATEPLAN_LOG;TRIGGER;30254063;94;0;0;0.010638297872340425;0
